Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
E2F1,0.430335,17,201,hTERT RPE-1
TP53,0.427769,1,201,A2780
TP53,0.425157,3,201,GP5d
E2F1,0.424621,23,201,Unclassified
SNAI2,0.420027,2,201,PC-9
TP53,0.418512,5,201,Fibroblasts
JUN,0.418135,2,201,MCF-7
E2F1,0.416369,17,201,Unclassified
TP53,0.41626,1,201,NCI-H1299
JUN,0.415614,26,201,A549
JUN,0.415262,28,201,A549
JUN,0.415096,8,201,Hep G2
TP53,0.412102,4,201,PC-9
E2F1,0.407019,16,201,Unclassified
E2F1,0.404974,14,201,Unclassified
E2F1,0.40447,26,201,K-562
JUN,0.392399,25,201,A549
FOXM1,0.388393,4,201,Hep G2
TCF4,0.387178,4,201,MCF 10A
JUN,0.385369,16,201,A549
TP53,0.383578,1,201,MCF-7
FOXM1,0.38305,3,201,293
JUN,0.382437,18,201,A549
JUN,0.381775,21,201,A549
JUN,0.368469,13,201,K-562
JUN,0.368434,19,201,A549
STAT3,0.365229,19,201,OCI-LY-19
JUN,0.364882,5,201,A549
STAT3,0.363764,11,201,MCF-7
E2F1,0.363622,32,201,OCI-LY1
JUN,0.362518,17,201,A549
TP53,0.36119,1,201,A549
STAT3,0.358401,3,201,MCF-7
FOXM1,0.355201,3,201,Hep G2
JUN,0.3438,1,201,BIN-67
JUN,0.340333,4,201,BIN-67
E2F1,0.340022,22,201,Hep G2
E2F1,0.33686,16,201,Hep G2
TP53,0.336326,1,201,HCT 116
TP53,0.329003,7,201,Hep G2
TP53,0.327946,19,201,Acute myeloid leukemia
JUN,0.324424,8,201,SCCOHT-1
SOX9,0.319814,4,201,HT-29
E2F1,0.316812,7,201,Unclassified
E2F1,0.306964,20,201,RAJI
E2F1,0.305348,1,201,LNCAP
FOXM1,0.304547,5,201,MDA-MB-231
STAT3,0.300231,22,201,OCI-LY-10
FOXM1,0.296568,3,201,MCF-7
FOXM1,0.285618,3,201,K-562
SMAD3,0.279596,1,201,K-562
E2F1,0.265122,8,201,HeLa
E2F1,0.245293,7,201,Wharton Jelly
JUN,0.239242,1,201,MCF-7
E2F1,0.235002,1,201,Wharton Jelly
E2F1,0.233818,1,201,Wharton Jelly
FOXM1,0.201942,6,201,MDA-MB-231
E2F1,0.190608,5,201,RAJI
