GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105372390,1.75409309,0.664418947,0.664418947,*,LOC105372390
LOC105372396,-2.877950281,0.46764803,0.46764803,*,LOC105372396
LOC105372401,-0.186242136,0.558744991,0.558744991,*,LOC105372401
LOC105372411,-2.145105281,0.321332408,0.321332408,*,LOC105372411
LOC105372424,-1.005262704,0.805404059,0.805404059,*,LOC105372424
LOC105372426,0.107334047,0.87531161,0.87531161,*,LOC105372426
LOC105372430,-0.321924038,0.735114179,0.735114179,*,LOC105372430
LOC105372431,0.38863827,0.846256607,0.846256607,*,LOC105372431
LOC105372432,2.346240386,0.557293005,0.557293005,*,LOC105372432
LOC105372435,-3.131770298,0.106122532,0.106122532,*,LOC105372435
LOC105372439,-0.043482025,0.991497804,0.991497804,*,LOC105372439
LOC105372449,0.364593569,0.893396028,0.893396028,*,LOC105372449
LOC105372462,-1.371212684,0.643674959,0.643674959,*,LOC105372462
LOC105372468,-0.043482025,0.991497804,0.991497804,*,LOC105372468
LOC105372480,-0.486328431,0.281272148,0.281272148,*,LOC105372480
LOC105372485,0.082951879,0.950841096,0.950841096,*,LOC105372485
LOC105372497,4.068160353,0.12530022,0.12530022,*,LOC105372497
LOC105372501,-1.005262704,0.805404059,0.805404059,*,LOC105372501
LOC105372505,-1.005262704,0.805404059,0.805404059,*,LOC105372505
LOC105372507,-0.917792834,0.82027967,0.82027967,*,LOC105372507
LOC105372511,-0.600781421,0.840058296,0.840058296,*,LOC105372511
LOC105372524,2.765944121,0.445250162,0.445250162,*,LOC105372524
LOC105372530,0.030780066,0.992506846,0.992506846,*,LOC105372530
LOC105372535,-1.005262704,0.805404059,0.805404059,*,LOC105372535
LOC105372571,-0.584959857,0.844595392,0.844595392,*,LOC105372571
LOC105372579,-0.254910754,0.791341338,0.791341338,*,LOC105372579
LOC105372582,-0.349589891,0.869420144,0.869420144,*,LOC105372582
LOC105372606,0.918290647,0.821944146,0.821944146,*,LOC105372606
LOC105372606-2,0.918290647,0.821944146,0.821944146,*,LOC105372606
LOC105372613,-1.203101012,0.376549151,0.376549151,*,LOC105372613
LOC105372621,0.437443182,0.213394613,0.213394613,*,LOC105372621
LOC105372637,-2.253796675,0.390685187,0.390685187,*,LOC105372637
LOC105372659,0.08452265,0.922894769,0.922894769,*,LOC105372659
LOC105372663,-1.005262704,0.805404059,0.805404059,*,LOC105372663
LOC105372664,-0.233764062,0.674144316,0.674144316,*,LOC105372664
LOC105372697,-0.05570144,0.986845403,0.986845403,*,LOC105372697
LOC105372698,-1.005262704,0.805404059,0.805404059,*,LOC105372698
LOC105372699,-2.545861842,0.515129331,0.515129331,*,LOC105372699
LOC105372703,-2.049277411,0.232446499,0.232446499,*,LOC105372703
LOC105372704,0.918290647,0.821944146,0.821944146,*,LOC105372704
LOC105372704-2,0.918290647,0.821944146,0.821944146,*,LOC105372704
LOC105372705,1.883632714,0.323723451,0.323723451,*,LOC105372705
LOC105372708,-1.390543385,0.360511046,0.360511046,*,LOC105372708
LOC105372709,-0.617334682,0.645023255,0.645023255,*,LOC105372709
LOC105372716,2.336228069,0.559038019,0.559038019,*,LOC105372716
LOC105372717,2.024145954,0.236465405,0.236465405,*,LOC105372717
LOC105372733,0.760268605,0.301627791,0.301627791,*,LOC105372733
LOC105372753,-1.879573847,0.641745938,0.641745938,*,LOC105372753
LOC105372766,0.918290647,0.821944146,0.821944146,*,LOC105372766
LOC105372791,3.182335273,0.324448918,0.324448918,*,LOC105372791
LOC105372793,2.689288288,0.293007058,0.293007058,*,LOC105372793
LOC105372798,0.167113611,0.800985751,0.800985751,*,LOC105372798
LOC105372824,-0.223035116,0.913116866,0.913116866,*,LOC105372824
LOC105372836,-0.272071173,0.300920013,0.300920013,*,LOC105372836
